epoch,dataset,run,val_epoch_ce,val_epoch_nll
61,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.811379727195291,
62,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.80551272280076,
63,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.8069168399362,
64,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.812507559271419,
65,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.808958123711979,
66,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.810729181065279,
67,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.805925747927497,
68,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.8061254445244295,
69,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.806948100819307,
70,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.806772666818955,
71,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.805910615360036,
72,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.808039847542258,
0,iam,"Task: HTG_SFT, Repr: Point-5",,1.064502405769685
1,iam,"Task: HTG_SFT, Repr: Point-5",,1.068605715737623
2,iam,"Task: HTG_SFT, Repr: Point-5",,1.057781373753267
